Passeriformes,Hirundinidae,Progne tapera,Golondrina sabanera,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/54_Progne%20tapera.jpg?raw=true
Passeriformes,Troglodytidae,Troglodytes aedon,Cucarachero común o ruiseñor,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/55_Troglodytes%20aedon.jpg?raw=true
Passeriformes,Troglodytidae,Campylorhynchus griseus,Chupahuevos,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/56_Campylorhynchus%20griseus.jpg?raw=true
Passeriformes,Turdidae,Turdus grayi,Mirla parda,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/57_Turdus%20grayi.jpg?raw=true
Passeriformes,Thraupidae,Thraupis episcopus,Azulejo común,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/58_Thraupis%20episcopus.jpg?raw=true
Passeriformes,Thraupidae,Thraupis glaucocolpa,Azulejo glauco,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/59_Thraupis%20glaucocolpa.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío hembra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_f.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío macho,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_m.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común hembra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_f.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común macho,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_m.jpg?raw=true
Passeriformes,Thraupidae,Coereba flaveola,Mielero común,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/62_Coereba%20flaveola.jpg?raw=true
Passeriformes,Thraupidae,Saltator coerulescens,Saltador papayero,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/63_Saltator%20coerulescens.JPG?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul hembra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_f.jpg?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul macho,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_m.jpg?raw=true
Passeriformes,Thraupidae,Piranga rubra,Piranga rubra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/65_Piranga%20rubra.jpg?raw=true
Passeriformes,Icteridae,Icterus galbula,Oriol de Baltimore,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/66_Icterus%20galbula.jpg?raw=true
Passeriformes,Icteridae,Icterus nigrogularis,Turpial amarillo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/67_Icterus%20nigrogularis.jpg?raw=true
Passeriformes,Icteridae,Molothrus bonariensis,Chamón común,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/68_Molothrus%20bonariensis.jpg?raw=true
Passeriformes,Icteridae,Molothrus aeneus,Chamón ceribeño,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/69_Molothrus%20aeneus.jpg?raw=true
Passeriformes,Icteridae,Quiscalus mexicanus,Mariamulata,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/70_Quiscalus%20mexicanus.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo hembra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_f.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo macho,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_m.jpg?raw=true
